Challenge,Org,Key Need 1,Key Need 2,Key Need 3,Key Need 4,Key Need 5,Key Need 6,Key Need 7,Key Need 8,Type,Stage,Geo 1,Geo 2,Geo 3,Tech 1,Tech 2,Tech 3,Tech 4,Tech 5,Tech 6,Tech 7,HQ Region
2020 Indigenous Communities Fellowship,ShockTalk,"Business model (e.g. product-market fit, strategy & development)",Noval,Noval,Noval,Noval,Noval,Noval,Noval,Hybrid of for-profit and nonprofit,Prototype,North America,Noval,Noval,Ancestral Technology & Practices,Behavioral Technology,Crowd Sourced Service / Social Networks,Software and Mobile Applications,Noval,Noval,Noval,North America
2020 Indigenous Communities Fellowship,Sicangu Online Marketplace,Noval,Noval,Noval,Noval,Noval,Noval,Noval,Noval,Nonprofit,Growth,North America,Noval,Noval,Noval,Noval,Noval,Noval,Noval,Noval,Noval,North America
Good Jobs & Inclusive Entrepreneurship Challenge,D2,Product / Service Distribution (e.g. expanding client base),"Public Relations (e.g. branding/marketing strategy, social and global media)",Noval,Noval,Noval,Noval,Noval,Noval,For-Profit,Pilot,South Asia,Noval,Noval,Crowd Sourced Service / Social Networks,GIS and Geospatial Technology,Software and Mobile Applications,Noval,Noval,Noval,Noval,South Asia
Good Jobs & Inclusive Entrepreneurship Challenge,Humans inthe Loop,Other,"Financial (e.g. improving accounting practices, pitching to investors)","Public Relations (e.g. branding/marketing strategy, social and global media)",Product / Service Distribution (e.g. expanding client base),Noval,Noval,Noval,Noval,Hybrid of for-profit and nonprofit,Growth,Europe and Central Asia,Noval,Noval,Artificial Intelligence / Machine Learning,GIS and Geospatial Technology,Imaging and sensor technology,Software and Mobile Applications,Noval,Noval,Noval,Europe and Central Asia
Good Jobs & Inclusive Entrepreneurship Challenge,Nucleus,Other,"Financial (e.g. improving accounting practices, pitching to investors)",Noval,Noval,Noval,Noval,Noval,Noval,For-Profit,Growth,Middle East and North Africa,Europe and Central Asia,Noval,Big Data,Manufacturing Technology,Noval,Noval,Noval,Noval,Noval,Sub-Saharan Africa
Good Jobs & Inclusive Entrepreneurship Challenge,SOLshare,"Technology (e.g. software or hardware, web development/design, data analysis, etc.)",Other,"Financial (e.g. improving accounting practices, pitching to investors)","Public Relations (e.g. branding/marketing strategy, social and global media)",Noval,Noval,Noval,Noval,For-Profit,Growth,South Asia,Noval,Noval,Artificial Intelligence / Machine Learning,Internet of Things,Software and Mobile Applications,Noval,Noval,Noval,Noval,South Asia
Good Jobs & Inclusive Entrepreneurship Challenge,Someone Somewhere,Other,"Financial (e.g. improving accounting practices, pitching to investors)","Public Relations (e.g. branding/marketing strategy, social and global media)",Product / Service Distribution (e.g. expanding client base),Noval,Noval,Noval,Noval,For-Profit,Growth,Latin America and the Caribbean,Latin America and the Caribbean,Noval,Ancestral Technology & Practices,Big Data,Crowd Sourced Service / Social Networks,Software and Mobile Applications,Noval,Noval,Noval,Latin America and the Caribbean
Good Jobs & Inclusive Entrepreneurship Challenge,TamoJunto.org.br,Product / Service Distribution (e.g. expanding client base),Other,"Public Relations (e.g. branding/marketing strategy, social and global media)","Financial (e.g. improving accounting practices, pitching to investors)",Noval,Noval,Noval,Noval,Nonprofit,Growth,Latin America and the Caribbean,Noval,Noval,Audiovisual Media,Software and Mobile Applications,Noval,Noval,Noval,Noval,Noval,Latin America and the Caribbean
Good Jobs & Inclusive Entrepreneurship Challenge,The Last Mile,Other,"Technology (e.g. software or hardware, web development/design, data analysis, etc.)",Noval,Noval,Noval,Noval,Noval,Noval,Nonprofit,Growth,North America,Noval,Noval,Audiovisual Media,Software and Mobile Applications,Noval,Noval,Noval,Noval,Noval,North America
Learning for Girls & Women Challenge,Amplify Her Voice,"Public Relations (e.g. branding/marketing strategy, social and global media)","Monitoring & Evaluation (e.g. collecting/using data, measuring impact)","Financial (e.g. improving accounting practices, pitching to investors)",Other,Product / Service Distribution (e.g. expanding client base),Noval,Noval,Noval,Nonprofit,Pilot,Latin America and the Caribbean,Noval,Noval,Audiovisual Media,Software and Mobile Applications,Noval,Noval,Noval,Noval,Noval,Latin America and the Caribbean
Learning for Girls & Women Challenge,Asia Initiatives Learning Cascades,"Public Relations (e.g. branding/marketing strategy, social and global media)",Other,"Business model (e.g. product-market fit, strategy & development)","Technology (e.g. software or hardware, web development/design, data analysis, etc.)","Monitoring & Evaluation (e.g. collecting/using data, measuring impact)",Noval,Noval,Noval,Nonprofit,Growth,South Asia,Sub-Saharan Africa,North America,Audiovisual Media,Behavioral Technology,Big Data,Crowd Sourced Service / Social Networks,Software and Mobile Applications,Noval,Noval,North America
Learning for Girls & Women Challenge,Empower 1.5M Girls to go to School,Other,"Public Relations (e.g. branding/marketing strategy, social and global media)","Financial (e.g. improving accounting practices, pitching to investors)",Noval,Noval,Noval,Noval,Noval,Nonprofit,Scale,South Asia,Noval,Noval,Artificial Intelligence / Machine Learning,Software and Mobile Applications,Noval,Noval,Noval,Noval,Noval,South Asia
Learning for Girls & Women Challenge,Girls-4-Girls,"Monitoring & Evaluation (e.g. collecting/using data, measuring impact)","Business model (e.g. product-market fit, strategy & development)","Technology (e.g. software or hardware, web development/design, data analysis, etc.)",Noval,Noval,Noval,Noval,Noval,For-Profit,Pilot,Sub-Saharan Africa,Noval,Noval,Big Data,Crowd Sourced Service / Social Networks,Software and Mobile Applications,Noval,Noval,Noval,Noval,Sub-Saharan Africa
Learning for Girls & Women Challenge,Sisters of Code,"Financial (e.g. improving accounting practices, pitching to investors)",Other,"Public Relations (e.g. branding/marketing strategy, social and global media)",Noval,Noval,Noval,Noval,Noval,Hybrid of for-profit and nonprofit,Pilot,East Asia and Pacific,Noval,Noval,Audiovisual Media,Noval,Noval,Noval,Noval,Noval,Noval,East Asia and Pacific
Learning for Girls & Women Challenge,Thaki,Other,"Technology (e.g. software or hardware, web development/design, data analysis, etc.)","Business model (e.g. product-market fit, strategy & development)","Monitoring & Evaluation (e.g. collecting/using data, measuring impact)","Public Relations (e.g. branding/marketing strategy, social and global media)",Product / Service Distribution (e.g. expanding client base),Noval,Noval,Nonprofit,Growth,Middle East and North Africa,Middle East and North Africa,Noval,Audiovisual Media,Software and Mobile Applications,Noval,Noval,Noval,Noval,Noval,Europe and Central Asia
Learning for Girls & Women Challenge,Yiya AirScience,"Business model (e.g. product-market fit, strategy & development)",Other,"Financial (e.g. improving accounting practices, pitching to investors)","Technology (e.g. software or hardware, web development/design, data analysis, etc.)","Public Relations (e.g. branding/marketing strategy, social and global media)",Noval,Noval,Noval,Nonprofit,Pilot,Sub-Saharan Africa,Noval,Noval,Big Data,Software and Mobile Applications,Noval,Noval,Noval,Noval,Noval,Sub-Saharan Africa
Maternal & Newborn Health Challenge,Bioforge Neonatal Incubator,Legal or Regulatory Matters,"Business model (e.g. product-market fit, strategy & development)",Noval,Noval,Noval,Noval,Noval,Noval,Hybrid of for-profit and nonprofit,Prototype,South Asia,Noval,Noval,Manufacturing Technology,Noval,Noval,Noval,Noval,Noval,Noval,South Asia
Maternal & Newborn Health Challenge,Democratizing Ultrasound Africa,Other,Noval,Noval,Noval,Noval,Noval,Noval,Noval,For-Profit,Growth,Sub-Saharan Africa,Noval,Noval,Audiovisual Media,Imaging and sensor technology,Software and Mobile Applications,Noval,Noval,Noval,Noval,Sub-Saharan Africa
Maternal & Newborn Health Challenge,Maisha,Legal or Regulatory Matters,"Financial (e.g. improving accounting practices, pitching to investors)","Human Capital (i.e. sourcing talent, board development, etc.)",Noval,Noval,Noval,Noval,Noval,For-Profit,Growth,Sub-Saharan Africa,Noval,Noval,Ancestral Technology & Practices,Artificial Intelligence / Machine Learning,Behavioral Technology,Big Data,Crowd Sourced Service / Social Networks,Software and Mobile Applications,Noval,Sub-Saharan Africa
Maternal & Newborn Health Challenge,Maziwa Breast Pump,"Business model (e.g. product-market fit, strategy & development)",Legal or Regulatory Matters,Product / Service Distribution (e.g. expanding client base),Noval,Noval,Noval,Noval,Noval,Hybrid of for-profit and nonprofit,Prototype,Sub-Saharan Africa,Noval,Noval,Manufacturing Technology,Noval,Noval,Noval,Noval,Noval,Noval,North America
Maternal & Newborn Health Challenge,Salamat,Legal or Regulatory Matters,"Financial (e.g. improving accounting practices, pitching to investors)","Technology (e.g. software or hardware, web development/design, data analysis, etc.)","Business model (e.g. product-market fit, strategy & development)","Public Relations (e.g. branding/marketing strategy, social and global media)",Other,Noval,Noval,Hybrid of for-profit and nonprofit,Growth,South Asia,Noval,Noval,Artificial Intelligence / Machine Learning,Behavioral Technology,Big Data,Internet of Things,Software and Mobile Applications,Noval,Noval,South Asia
Maternal & Newborn Health Challenge,Ubenwa,Product / Service Distribution (e.g. expanding client base),Noval,Noval,Noval,Noval,Noval,Noval,Noval,For-Profit,Prototype,North America,Noval,Noval,Artificial Intelligence / Machine Learning,Software and Mobile Applications,Noval,Noval,Noval,Noval,Noval,North America
Maternal & Newborn Health Challenge,Universally Friendly Obturator,"Business model (e.g. product-market fit, strategy & development)",Legal or Regulatory Matters,Product / Service Distribution (e.g. expanding client base),"Monitoring & Evaluation (e.g. collecting/using data, measuring impact)","Financial (e.g. improving accounting practices, pitching to investors)","Technology (e.g. software or hardware, web development/design, data analysis, etc.)","Public Relations (e.g. branding/marketing strategy, social and global media)",Other,Hybrid of for-profit and nonprofit,Prototype,North America,Noval,Noval,Biotechnology / Bioengineering,Noval,Noval,Noval,Noval,Noval,Noval,North America
Sustainable Food Systems Challenge,Bambara Milk,Product / Service Distribution (e.g. expanding client base),Noval,Noval,Noval,Noval,Noval,Noval,Noval,For-Profit,Pilot,East Asia and Pacific,Sub-Saharan Africa,Noval,Biotechnology / Bioengineering,Noval,Noval,Noval,Noval,Noval,Noval,East Asia and Pacific
Sustainable Food Systems Challenge,Beewise,Product / Service Distribution (e.g. expanding client base),Noval,Noval,Noval,Noval,Noval,Noval,Noval,For-Profit,Pilot,North America,Middle East and North Africa,Noval,Artificial Intelligence / Machine Learning,Big Data,Imaging and sensor technology,Internet of Things,Robotics and Drones,Software and Mobile Applications,Noval,Middle East and North Africa
Sustainable Food Systems Challenge,eggXYt,"Financial (e.g. improving accounting practices, pitching to investors)","Public Relations (e.g. branding/marketing strategy, social and global media)",Noval,Noval,Noval,Noval,Noval,Noval,For-Profit,Prototype,Middle East and North Africa,Noval,Noval,Biotechnology / Bioengineering,Imaging and sensor technology,Internet of Things,Robotics and Drones,Noval,Noval,Noval,Middle East and North Africa
Sustainable Food Systems Challenge,InsectiPro,"Technology (e.g. software or hardware, web development/design, data analysis, etc.)",Noval,Noval,Noval,Noval,Noval,Noval,Noval,For-Profit,Growth,Sub-Saharan Africa,Noval,Noval,Manufacturing Technology,Noval,Noval,Noval,Noval,Noval,Noval,Sub-Saharan Africa
Sustainable Food Systems Challenge,SmartFish Mexico,"Technology (e.g. software or hardware, web development/design, data analysis, etc.)",Noval,Noval,Noval,Noval,Noval,Noval,Noval,Hybrid of for-profit and nonprofit,Growth,Latin America and the Caribbean,Noval,Noval,Crowd Sourced Service / Social Networks,Manufacturing Technology,Software and Mobile Applications,Noval,Noval,Noval,Noval,Latin America and the Caribbean
Sustainable Food Systems Challenge,Symbrosia,"Business model (e.g. product-market fit, strategy & development)","Public Relations (e.g. branding/marketing strategy, social and global media)",Noval,Noval,Noval,Noval,Noval,Noval,For-Profit,Pilot,North America,Noval,Noval,Biotechnology / Bioengineering,Materials Science,Noval,Noval,Noval,Noval,Noval,North America
Sustainable Food Systems Challenge,Whole Surplus,Legal or Regulatory Matters,"Public Relations (e.g. branding/marketing strategy, social and global media)",Noval,Noval,Noval,Noval,Noval,Noval,For-Profit,Growth,Europe and Central Asia,Noval,Noval,Artificial Intelligence / Machine Learning,Big Data,Internet of Things,Software and Mobile Applications,Noval,Noval,Noval,Europe and Central Asia
